Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
20180101 1:53 AM,22,2,42,N,15,0,30.17,0,Cloudy
20180101 2:53 AM,21,2,44,NNE,15,0,30.18,0,Cloudy
20180101 3:53 AM,20,2,46,N,15,0,30.19,0,Mostly Cloudy
20180101 4:53 AM,20,3,48,NNE,14,0,30.2,0,Cloudy
20180101 5:53 AM,19,3,50,N,16,0,30.22,0,Cloudy
20180101 6:53 AM,18,3,52,NNE,13,0,30.23,0,Cloudy
20180101 7:53 AM,17,4,56,NNE,12,0,30.26,0,Cloudy
20180101 8:53 AM,17,4,56,N,10,0,30.27,0,Cloudy
20180101 9:53 AM,18,4,54,NE,13,21,30.28,0,Cloudy
20180101 10:53 AM,20,4,50,N,12,0,30.29,0,Cloudy
20180101 11:53 AM,22,5,48,N,12,0,30.3,0,Partly Cloudy
20180101 12:53 PM,25,5,43,NNE,10,16,30.26,0,Mostly Cloudy
20180101 1:53 PM,27,5,39,NE,10,0,30.22,0,Partly Cloudy
20180101 2:53 PM,28,6,39,N,8,16,30.19,0,Partly Cloudy
20180101 3:53 PM,29,5,36,NNE,6,0,30.17,0,Fair
20180101 4:53 PM,29,5,36,NNE,9,0,30.16,0,Fair
20180101 5:53 PM,28,7,41,NE,10,0,30.15,0,Fair
20180101 6:53 PM,26,7,44,NE,8,0,30.14,0,Fair
20180101 7:53 PM,26,7,44,NNE,6,0,30.15,0,Cloudy
20180101 8:53 PM,25,8,49,VAR,7,0,30.16,0,Cloudy
20180101 9:53 PM,24,8,51,NE,6,0,30.14,0,Cloudy
20180101 10:53 PM,25,8,49,ENE,6,0,30.15,0,Cloudy
20180101 11:53 PM,24,8,51,ENE,7,0,30.15,0,Cloudy
20180101 12:53 AM,24,8,51,ENE,6,0,30.14,0,Mostly Cloudy
20180102 1:53 AM,23,8,53,NE,5,0,30.13,0,Cloudy
20180102 2:53 AM,22,8,55,NE,5,0,30.13,0,Mostly Cloudy
